Prescription 02:04:39.812 [pool-3-thread-1] ERROR org.jsxm.jsxmcore.util.XML - IOException : No 'definitions.xml' file. Continue with no definitions.
Prescription 02:04:39.818 [pool-3-thread-1] INFO  org.jsxm.jsxmcore.core.SXMBaseGeneration - TYPES USED in the specification: 
Prescription 02:04:39.819 [pool-3-thread-1] INFO  org.jsxm.jsxmcore.core.SXMBaseGeneration - Standard types: 
Prescription 02:04:39.819 [pool-3-thread-1] INFO  org.jsxm.jsxmcore.core.SXMBaseGeneration - xs:boolean 
Prescription 02:04:39.819 [pool-3-thread-1] INFO  org.jsxm.jsxmcore.core.SXMBaseGeneration - xs:int 
Prescription 02:04:39.819 [pool-3-thread-1] INFO  org.jsxm.jsxmcore.core.SXMBaseGeneration - xs:string 
Prescription 02:04:39.819 [pool-3-thread-1] INFO  org.jsxm.jsxmcore.core.SXMBaseGeneration - User defined types: 
Prescription 02:04:39.819 [pool-3-thread-1] INFO  org.jsxm.jsxmcore.core.SXMBaseGeneration - 

Prescription 02:04:39.819 [pool-3-thread-1] WARN  org.jsxm.jsxmcore.core.SXMBaseGeneration - 
Warning in the specification:
Prescription 02:04:39.819 [pool-3-thread-1] WARN  org.jsxm.jsxmcore.core.SXMBaseGeneration - No [methods] tag.
Prescription 02:04:39.819 [pool-3-thread-1] WARN  org.jsxm.jsxmcore.core.SXMBaseGeneration - 

Prescription 02:04:39.819 [pool-3-thread-1] WARN  org.jsxm.jsxmcore.core.SXMBaseGeneration - 
Warning in the specification:
Prescription 02:04:39.820 [pool-3-thread-1] WARN  org.jsxm.jsxmcore.core.SXMBaseGeneration - No [methods] tag.
Prescription 02:04:39.820 [pool-3-thread-1] WARN  org.jsxm.jsxmcore.core.SXMBaseGeneration - 

Prescription 02:04:39.820 [pool-3-thread-1] INFO  org.jsxm.jsxmcore.core.SXMBaseGeneration - [closeInput -> closeOutput # [], useInput -> useOutput # [], addItemInput -> addItemOutput # [], getContentInput -> getContentOutput # [], isUsedInput -> isUsedOutput # []]
Prescription 02:04:39.823 [pool-3-thread-1] INFO  org.jsxm.maven.plugin.jsxmtool.compilation.sxm.SxmCompiler - ---  Java files from JSXM specification Prescription.xml generated successfully ---
Prescription 02:04:40.206 [main] INFO  org.jsxm.maven.plugin.jsxmtool.utilities.JSXMUtils - Txt path : C:\Users\Rares\Desktop\VisitProgram\src\spec\jsxmLogs\Prescription\Prescription.txt
Prescription 02:04:40.207 [main] INFO  org.jsxm.maven.plugin.jsxmtool.utilities.JSXMUtils - Pdf path : C:\Users\Rares\Desktop\VisitProgram\src\spec\jsxmLogs\Prescription\Prescription.pdf
Prescription 02:04:40.227 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.SetsReader - No [separablestates] tag in C:\Users\Rares\Desktop\VisitProgram/src/spec/org\jsxm\program\Prescription\\specification\Prescription_sets.xml
Prescription 02:04:40.228 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.SetsReader - It is assumed that all states are pairwire separable.
Prescription 02:04:40.228 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - STATE COVER : [[], [close], [close,use]]
Prescription 02:04:40.228 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - CHARACTERIZATION SET : [[]]
Prescription 02:04:40.228 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - FUNCTION SET : [addItem, close, getContent, isUsed, use]
Prescription 02:04:40.228 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - All states are assumed to be pairwise separable. Applying W-method
Prescription 02:04:40.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.util.Various - ------------------------------------------------------------
Prescription 02:04:40.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.WMethodTestCaseGenerator - Generating test set sequences for the associated automaton.
Prescription 02:04:40.229 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.WMethodTestCaseGenerator - S PHI[k+1] W
Prescription 02:04:40.230 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.WMethodTestCaseGenerator - Resulting sequences: [f1,...,fk,fk+1], where [f1,...,fk] in Language
Prescription 02:04:40.230 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.WMethodTestCaseGenerator - k = 2
Prescription 02:04:40.230 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.WMethodTestCaseGenerator - PHI^n, n=0
Prescription 02:04:40.230 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.WMethodTestCaseGenerator - PHI^n, n=1
Prescription 02:04:40.230 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.WMethodTestCaseGenerator - PHI^n, n=2
Prescription 02:04:40.231 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.WMethodTestCaseGenerator - PHI^n, n=3
Prescription 02:04:40.232 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.WMethodTestCaseGenerator - 81 test cases
Prescription 02:04:40.232 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 1 : [] 
Prescription 02:04:40.233 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 2 : [close] 
Prescription 02:04:40.233 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 3 : [addItem] 
Prescription 02:04:40.233 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 4 : [getContent] 
Prescription 02:04:40.233 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 5 : [isUsed] 
Prescription 02:04:40.233 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 6 : [use] 
Prescription 02:04:40.233 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 7 : [close,use] 
Prescription 02:04:40.233 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 8 : [close,addItem] 
Prescription 02:04:40.233 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 9 : [close,close] 
Prescription 02:04:40.233 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 10 : [close,getContent] 
Prescription 02:04:40.233 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 11 : [close,isUsed] 
Prescription 02:04:40.233 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 12 : [addItem,addItem] 
Prescription 02:04:40.233 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 13 : [addItem,close] 
Prescription 02:04:40.233 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 14 : [addItem,getContent] 
Prescription 02:04:40.233 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 15 : [addItem,isUsed] 
Prescription 02:04:40.234 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 16 : [addItem,use] 
Prescription 02:04:40.234 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 17 : [close,use,addItem] 
Prescription 02:04:40.234 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 18 : [close,use,close] 
Prescription 02:04:40.234 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 19 : [close,use,getContent] 
Prescription 02:04:40.234 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 20 : [close,use,isUsed] 
Prescription 02:04:40.234 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 21 : [close,use,use] 
Prescription 02:04:40.235 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 22 : [close,getContent,addItem] 
Prescription 02:04:40.235 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 23 : [close,getContent,close] 
Prescription 02:04:40.235 [pool-4-thread-1] INFO  org.jsxm.jsxmcore.testcasegenerators.TestCaseGenerator - # 24 : [close,getContent,getContent] 
